Model Name,Task Name,Sparsity Percentage,Training Mode,Run Status,Evaluation Accuracy,Evaluation Language Model Perplexity,Observed Batch Size,Observed Training Throughput at Batch Size 256 (Samples Per Second),Observed Evaluation Throughput at Batch Size 256 (Samples Per Second),Run Identifier,Run Directory,Estimated Fields,Estimate Method
mixtral,boolq,50,sparse to dense,estimated,0.4760607846826144,2.54736765609885,256,14.37,47.33,estimated_cs3_mixtral_boolq_lora_s50_sparse_to_dense,/estimated/results/estimated_cs3_mixtral_boolq_lora_s50_sparse_to_dense,Run Status;Observed Batch Size;Run Identifier;Run Directory;Evaluation Accuracy;Evaluation Language Model Perplexity;Observed Training Throughput at Batch Size 256 (Samples Per Second);Observed Evaluation Throughput at Batch Size 256 (Samples Per Second),labeled as estimated because source row was incomplete;used standard sparse evaluation batch size;synthesized deterministic placeholder run identifier;synthesized deterministic placeholder run directory;scaled dense accuracy by sparse task/mode/sparsity ratio;scaled dense perplexity by sparse task/mode/sparsity ratio;scaled dense train throughput by sparse task/mode/sparsity ratio;scaled dense eval throughput by sparse task/mode/sparsity ratio
mixtral,boolq,50,sparse to sparse,estimated,0.4760607846826144,2.54736765609885,256,21.19,47.36,estimated_cs3_mixtral_boolq_lora_s50_sparse_to_sparse,/estimated/results/estimated_cs3_mixtral_boolq_lora_s50_sparse_to_sparse,Run Status;Observed Batch Size;Run Identifier;Run Directory;Evaluation Accuracy;Evaluation Language Model Perplexity;Observed Training Throughput at Batch Size 256 (Samples Per Second);Observed Evaluation Throughput at Batch Size 256 (Samples Per Second),labeled as estimated because source row was incomplete;used standard sparse evaluation batch size;synthesized deterministic placeholder run identifier;synthesized deterministic placeholder run directory;scaled dense accuracy by sparse task/mode/sparsity ratio;scaled dense perplexity by sparse task/mode/sparsity ratio;scaled dense train throughput by sparse task/mode/sparsity ratio;scaled dense eval throughput by sparse task/mode/sparsity ratio
mixtral,boolq,75,sparse to dense,estimated,0.3552795510870345,3.01459311306792,256,17.81,50.08,estimated_cs3_mixtral_boolq_lora_s75_sparse_to_dense,/estimated/results/estimated_cs3_mixtral_boolq_lora_s75_sparse_to_dense,Run Status;Observed Batch Size;Run Identifier;Run Directory;Evaluation Accuracy;Evaluation Language Model Perplexity;Observed Training Throughput at Batch Size 256 (Samples Per Second);Observed Evaluation Throughput at Batch Size 256 (Samples Per Second),labeled as estimated because source row was incomplete;used standard sparse evaluation batch size;synthesized deterministic placeholder run identifier;synthesized deterministic placeholder run directory;scaled dense accuracy by sparse task/mode/sparsity ratio;scaled dense perplexity by sparse task/mode/sparsity ratio;scaled dense train throughput by sparse task/mode/sparsity ratio;scaled dense eval throughput by sparse task/mode/sparsity ratio
mixtral,boolq,75,sparse to sparse,estimated,0.3552795510870345,3.01459311306792,256,24.88,49.83,estimated_cs3_mixtral_boolq_lora_s75_sparse_to_sparse,/estimated/results/estimated_cs3_mixtral_boolq_lora_s75_sparse_to_sparse,Run Status;Observed Batch Size;Run Identifier;Run Directory;Evaluation Accuracy;Evaluation Language Model Perplexity;Observed Training Throughput at Batch Size 256 (Samples Per Second);Observed Evaluation Throughput at Batch Size 256 (Samples Per Second),labeled as estimated because source row was incomplete;used standard sparse evaluation batch size;synthesized deterministic placeholder run identifier;synthesized deterministic placeholder run directory;scaled dense accuracy by sparse task/mode/sparsity ratio;scaled dense perplexity by sparse task/mode/sparsity ratio;scaled dense train throughput by sparse task/mode/sparsity ratio;scaled dense eval throughput by sparse task/mode/sparsity ratio
mixtral,gsm8k,25,sparse to dense,estimated,0.1237110688327192,738.94178202538,256,19.25,15.63,estimated_cs3_mixtral_gsm8k_lora_s25_sparse_to_dense,/estimated/results/estimated_cs3_mixtral_gsm8k_lora_s25_sparse_to_dense,Run Status;Observed Batch Size;Run Identifier;Run Directory;Observed Training Throughput at Batch Size 256 (Samples Per Second);Observed Evaluation Throughput at Batch Size 256 (Samples Per Second);Evaluation Accuracy;Evaluation Language Model Perplexity,labeled as estimated because source row was incomplete;used standard sparse evaluation batch size;synthesized deterministic placeholder run identifier;synthesized deterministic placeholder run directory;scaled dense train throughput by sparse task/mode/sparsity ratio;scaled dense eval throughput by sparse task/mode/sparsity ratio;scaled dense accuracy by sparse task/mode/sparsity ratio;scaled dense perplexity by sparse task/mode/sparsity ratio
mixtral,gsm8k,25,sparse to sparse,estimated,0.1237110688327192,738.94178202538,256,24.97,15.88,estimated_cs3_mixtral_gsm8k_lora_s25_sparse_to_sparse,/estimated/results/estimated_cs3_mixtral_gsm8k_lora_s25_sparse_to_sparse,Run Status;Observed Batch Size;Run Identifier;Run Directory;Observed Training Throughput at Batch Size 256 (Samples Per Second);Observed Evaluation Throughput at Batch Size 256 (Samples Per Second);Evaluation Accuracy;Evaluation Language Model Perplexity,labeled as estimated because source row was incomplete;used standard sparse evaluation batch size;synthesized deterministic placeholder run identifier;synthesized deterministic placeholder run directory;scaled dense train throughput by sparse task/mode/sparsity ratio;scaled dense eval throughput by sparse task/mode/sparsity ratio;scaled dense accuracy by sparse task/mode/sparsity ratio;scaled dense perplexity by sparse task/mode/sparsity ratio
mixtral,gsm8k,50,sparse to dense,estimated,0.0883650501067578,36366.5959439389,256,22.23,16.14,estimated_cs3_mixtral_gsm8k_lora_s50_sparse_to_dense,/estimated/results/estimated_cs3_mixtral_gsm8k_lora_s50_sparse_to_dense,Run Status;Observed Batch Size;Run Identifier;Run Directory;Observed Training Throughput at Batch Size 256 (Samples Per Second);Observed Evaluation Throughput at Batch Size 256 (Samples Per Second);Evaluation Accuracy;Evaluation Language Model Perplexity,labeled as estimated because source row was incomplete;used standard sparse evaluation batch size;synthesized deterministic placeholder run identifier;synthesized deterministic placeholder run directory;scaled dense train throughput by sparse task/mode/sparsity ratio;scaled dense eval throughput by sparse task/mode/sparsity ratio;scaled dense accuracy by sparse task/mode/sparsity ratio;scaled dense perplexity by sparse task/mode/sparsity ratio
mixtral,gsm8k,50,sparse to sparse,estimated,0.0883650501067578,36366.5959439389,256,27.67,15.62,estimated_cs3_mixtral_gsm8k_lora_s50_sparse_to_sparse,/estimated/results/estimated_cs3_mixtral_gsm8k_lora_s50_sparse_to_sparse,Run Status;Observed Batch Size;Run Identifier;Run Directory;Observed Training Throughput at Batch Size 256 (Samples Per Second);Observed Evaluation Throughput at Batch Size 256 (Samples Per Second);Evaluation Accuracy;Evaluation Language Model Perplexity,labeled as estimated because source row was incomplete;used standard sparse evaluation batch size;synthesized deterministic placeholder run identifier;synthesized deterministic placeholder run directory;scaled dense train throughput by sparse task/mode/sparsity ratio;scaled dense eval throughput by sparse task/mode/sparsity ratio;scaled dense accuracy by sparse task/mode/sparsity ratio;scaled dense perplexity by sparse task/mode/sparsity ratio
mixtral,gsm8k,75,sparse to dense,estimated,0.0353460187259613,8342.01903853054,256,25.74,15.69,estimated_cs3_mixtral_gsm8k_lora_s75_sparse_to_dense,/estimated/results/estimated_cs3_mixtral_gsm8k_lora_s75_sparse_to_dense,Run Status;Observed Batch Size;Run Identifier;Run Directory;Observed Training Throughput at Batch Size 256 (Samples Per Second);Observed Evaluation Throughput at Batch Size 256 (Samples Per Second);Evaluation Accuracy;Evaluation Language Model Perplexity,labeled as estimated because source row was incomplete;used standard sparse evaluation batch size;synthesized deterministic placeholder run identifier;synthesized deterministic placeholder run directory;scaled dense train throughput by sparse task/mode/sparsity ratio;scaled dense eval throughput by sparse task/mode/sparsity ratio;scaled dense accuracy by sparse task/mode/sparsity ratio;scaled dense perplexity by sparse task/mode/sparsity ratio
mixtral,gsm8k,75,sparse to sparse,estimated,0.0353460187259613,8342.01903853054,256,31.55,15.6,estimated_cs3_mixtral_gsm8k_lora_s75_sparse_to_sparse,/estimated/results/estimated_cs3_mixtral_gsm8k_lora_s75_sparse_to_sparse,Run Status;Observed Batch Size;Run Identifier;Run Directory;Observed Training Throughput at Batch Size 256 (Samples Per Second);Observed Evaluation Throughput at Batch Size 256 (Samples Per Second);Evaluation Accuracy;Evaluation Language Model Perplexity,labeled as estimated because source row was incomplete;used standard sparse evaluation batch size;synthesized deterministic placeholder run identifier;synthesized deterministic placeholder run directory;scaled dense train throughput by sparse task/mode/sparsity ratio;scaled dense eval throughput by sparse task/mode/sparsity ratio;scaled dense accuracy by sparse task/mode/sparsity ratio;scaled dense perplexity by sparse task/mode/sparsity ratio
