run_id,method,model,task,sparsity_fraction,timestamp,point_index,micro_batch,seq_len,world_size,tokens_per_step,mean_step_time_s,tokens_per_s,peak_mem_gb,run_dir
gpu-week4_sparse_to_dense-mistral-7b-hellaswag-s50-20260302-030526-2729815,sparse_to_dense,mistral-7b,hellaswag,50,20260302-030526-2729815,2,2,2048,1,4096,1.5090770204551518,2714.241847486756,17.59902572631836,results/runs/gpu-week4_sparse_to_dense-mistral-7b-hellaswag-s50-20260302-030526-2729815
gpu-week4_sparse_to_sparse-llama3.1-8b-boolq-s25-20260301-161019-2932896,sparse_to_sparse,llama3.1-8b,boolq,25,20260301-161019-2932896,0,1,2048,1,2048,0.9787102453410625,2092.549873416631,37.12069082260132,results/runs/gpu-week4_sparse_to_sparse-llama3.1-8b-boolq-s25-20260301-161019-2932896
gpu-week4_sparse_to_sparse-llama3.1-8b-boolq-s50-20260301-162227-2996196,sparse_to_sparse,llama3.1-8b,boolq,50,20260301-162227-2996196,0,1,2048,1,2048,0.9769369310699403,2096.348223581877,37.12069082260132,results/runs/gpu-week4_sparse_to_sparse-llama3.1-8b-boolq-s50-20260301-162227-2996196
gpu-week4_sparse_to_sparse-llama3.1-8b-boolq-s75-20260301-163443-3064338,sparse_to_sparse,llama3.1-8b,boolq,75,20260301-163443-3064338,0,1,2048,1,2048,0.9779188579879701,2094.243283347332,37.12069082260132,results/runs/gpu-week4_sparse_to_sparse-llama3.1-8b-boolq-s75-20260301-163443-3064338
gpu-week4_sparse_to_sparse-llama3.1-8b-gsm8k-s25-20260301-181241-3583434,sparse_to_sparse,llama3.1-8b,gsm8k,25,20260301-181241-3583434,0,1,2048,1,2048,0.967083814740181,2117.7068303539136,37.12069082260132,results/runs/gpu-week4_sparse_to_sparse-llama3.1-8b-gsm8k-s25-20260301-181241-3583434
gpu-week4_sparse_to_sparse-llama3.1-8b-gsm8k-s50-20260301-200713-38739,sparse_to_sparse,llama3.1-8b,gsm8k,50,20260301-200713-38739,0,1,2048,1,2048,0.9740392081439495,2102.5847654556983,37.12069082260132,results/runs/gpu-week4_sparse_to_sparse-llama3.1-8b-gsm8k-s50-20260301-200713-38739
gpu-week4_sparse_to_sparse-llama3.1-8b-gsm8k-s75-20260301-220149-735066,sparse_to_sparse,llama3.1-8b,gsm8k,75,20260301-220149-735066,0,1,2048,1,2048,0.9788599057123065,2092.229938164329,37.12069082260132,results/runs/gpu-week4_sparse_to_sparse-llama3.1-8b-gsm8k-s75-20260301-220149-735066
gpu-week4_sparse_to_sparse-llama3.1-8b-hellaswag-s25-20260301-164831-3134554,sparse_to_sparse,llama3.1-8b,hellaswag,25,20260301-164831-3134554,0,1,2048,1,2048,0.9821196829900145,2085.2855669942037,37.12069082260132,results/runs/gpu-week4_sparse_to_sparse-llama3.1-8b-hellaswag-s25-20260301-164831-3134554
gpu-week4_sparse_to_sparse-llama3.1-8b-hellaswag-s50-20260301-171910-3306572,sparse_to_sparse,llama3.1-8b,hellaswag,50,20260301-171910-3306572,0,1,2048,1,2048,0.9737142162397504,2103.2865350460656,37.12069082260132,results/runs/gpu-week4_sparse_to_sparse-llama3.1-8b-hellaswag-s50-20260301-171910-3306572
gpu-week4_sparse_to_sparse-llama3.1-8b-hellaswag-s75-20260301-174744-3452523,sparse_to_sparse,llama3.1-8b,hellaswag,75,20260301-174744-3452523,0,1,2048,1,2048,0.972286438010633,2106.375158528749,37.12069082260132,results/runs/gpu-week4_sparse_to_sparse-llama3.1-8b-hellaswag-s75-20260301-174744-3452523
gpu-week4_sparse_to_sparse-mistral-7b-boolq-s25-20260302-002940-1779409,sparse_to_sparse,mistral-7b,boolq,25,20260302-002940-1779409,0,4,2048,1,8192,3.4763083812780677,2356.5228114164615,37.1028618812561,results/runs/gpu-week4_sparse_to_sparse-mistral-7b-boolq-s25-20260302-002940-1779409
gpu-week4_sparse_to_sparse-mistral-7b-boolq-s25-20260302-002940-1779409,sparse_to_sparse,mistral-7b,boolq,25,20260302-002940-1779409,1,2,2048,1,4096,1.7227603754028677,2377.579643972337,32.69330072402954,results/runs/gpu-week4_sparse_to_sparse-mistral-7b-boolq-s25-20260302-002940-1779409
